Date,Price,Open,High,Low,Vol.,Change %
"Aug 31, 2019","9,594.40","9,585.50","9,677.50","9,457.30",311.49K,0.09%
"Aug 30, 2019","9,585.40","9,494.10","9,675.70","9,370.20",413.92K,0.99%
"Aug 29, 2019","9,491.00","9,729.10","9,729.10","9,343.00",509.13K,-2.45%
"Aug 28, 2019","9,729.40","10,184.70","10,271.30","9,629.60",580.29K,-4.47%
"Aug 27, 2019","10,184.80","10,372.20","10,387.60","10,060.20",419.81K,-1.80%
"Aug 26, 2019","10,371.80","10,136.00","10,568.20","10,136.00",568.77K,2.32%
"Aug 25, 2019","10,136.30","10,132.10","10,307.00","9,935.20",422.53K,0.05%
"Aug 24, 2019","10,131.00","10,389.40","10,415.90","9,917.50",463.85K,-2.48%
"Aug 23, 2019","10,388.70","10,104.90","10,434.30","9,921.40",436.26K,2.81%
"Aug 22, 2019","10,105.00","10,141.10","10,218.20","9,777.00",520.75K,-0.36%
"Aug 21, 2019","10,141.50","10,753.30","10,797.80","9,908.00",717.65K,-5.68%
"Aug 20, 2019","10,752.60","10,911.20","10,941.60","10,581.00",515.47K,-1.45%
"Aug 19, 2019","10,910.70","10,312.80","10,923.90","10,267.80",519.01K,5.80%
"Aug 18, 2019","10,312.70","10,219.30","10,494.90","10,086.70",441.11K,0.93%
"Aug 17, 2019","10,218.10","10,335.50","10,460.70","10,016.30",497.77K,-1.14%
"Aug 16, 2019","10,335.60","10,300.90","10,734.00","9,788.60",798.67K,0.31%
"Aug 15, 2019","10,303.40","10,053.30","10,448.20","9,580.10",930.05K,2.53%
"Aug 14, 2019","10,049.40","10,894.20","10,894.50","9,965.50",745.59K,-7.74%
"Aug 13, 2019","10,892.90","11,395.00","11,445.60","10,793.20",540.78K,-4.40%
"Aug 12, 2019","11,394.20","11,505.10","11,508.60","11,267.30",391.08K,-1.07%
"Aug 11, 2019","11,517.20","11,314.60","11,728.40","11,146.10",435.83K,1.79%
"Aug 10, 2019","11,314.50","12,090.50","12,185.00","11,281.60",570.74K,-6.41%
"Aug 09, 2019","12,089.80","12,190.00","12,225.30","11,885.00",558.72K,-0.84%
"Aug 08, 2019","12,191.60","12,015.90","12,236.60","11,727.00",592.15K,1.48%
"Aug 07, 2019","12,013.90","11,481.00","12,114.50","11,406.40",702.85K,4.64%
"Aug 06, 2019","11,480.90","11,817.60","12,291.90","11,237.00",807.58K,-2.84%
"Aug 05, 2019","11,816.80","10,934.80","11,922.30","10,934.80",769.63K,8.07%
"Aug 04, 2019","10,934.60","10,816.10","11,017.70","10,568.80",585.71K,1.10%
"Aug 03, 2019","10,815.70","10,519.90","10,893.60","10,504.50",508.75K,2.81%
"Aug 02, 2019","10,520.10","10,380.50","10,664.80","10,330.50",578.29K,1.35%
"Aug 01, 2019","10,380.00","10,081.90","10,459.00","9,890.60",608.37K,2.96%
"Jul 31, 2019","10,082.00","9,580.30","10,100.00","9,562.40",589.84K,5.23%
"Jul 30, 2019","9,580.70","9,580.00","9,703.00","9,483.00",511.51K,0.00%
"Jul 29, 2019","9,580.90","9,728.50","9,835.40","9,502.50",510.90K,-1.51%
"Jul 28, 2019","9,727.80","9,491.10","9,798.50","9,401.10",518.59K,2.48%
"Jul 27, 2019","9,492.10","9,830.40","10,232.30","9,389.10",661.89K,-3.45%
"Jul 26, 2019","9,831.00","9,945.20","10,436.10","9,724.20",493.75K,-1.15%
"Jul 25, 2019","9,945.30","9,804.70","10,203.50","9,776.60",545.85K,1.44%
"Jul 24, 2019","9,804.30","9,887.20","9,945.30","9,584.00",639.54K,-0.85%
"Jul 23, 2019","9,888.70","10,412.80","10,414.70","9,865.40",663.38K,-5.03%
"Jul 22, 2019","10,412.50","10,715.10","10,806.30","10,196.50",591.27K,-2.82%
"Jul 21, 2019","10,714.40","10,827.00","10,883.80","10,442.50",562.17K,-1.04%
"Jul 20, 2019","10,826.70","10,571.90","11,155.60","10,462.00",668.94K,2.41%
"Jul 19, 2019","10,571.50","10,651.60","10,758.40","10,160.70",727.79K,-0.75%
"Jul 18, 2019","10,651.40","9,723.10","10,787.10","9,390.00",974.49K,9.55%
"Jul 17, 2019","9,723.20","9,425.10","9,983.60","9,082.60",1.03M,3.17%
"Jul 16, 2019","9,424.80","10,844.00","11,019.50","9,375.30",1.05M,-13.10%
"Jul 15, 2019","10,845.90","10,199.90","11,064.70","9,885.40",956.52K,6.33%
"Jul 14, 2019","10,200.10","11,364.30","11,448.70","10,128.90",840.76K,-10.25%
"Jul 13, 2019","11,364.90","11,762.80","11,798.40","10,839.40",747.71K,-3.38%
"Jul 12, 2019","11,762.10","11,343.70","11,881.40","11,109.80",738.17K,3.70%
